rank,sales,zip,lat,lon,city,state
1,103078.762,94110,37.74873,-122.41545,San Francisco,CA
2,97011.194,35756,34.630103,-86.80159,Madison,AL
3,62018.162,23111,37.605641,-77.31536,Mechanicsville,VA
4,52583.67,11720,40.868946,-73.08009,Centereach,NY
5,51917.85,27502,35.73663,-78.86462,Apex,NC
6,51081.3165,72143,35.239022,-91.73776,Searcy,AR
7,49926.7,11010,40.701702,-73.67562,Franklin Square,NY
8,49206.5345,94025,37.451688,-122.18385,Menlo Park,CA
9,48369.278,44240,41.148756,-81.35302,Kent,OH
10,47929.0645,97068,45.361991,-122.64443,West Linn,OR
11,47826.324,63129,38.469953,-90.32161,Saint Louis,MO
12,46723.79,32601,29.653195,-82.3244,Gainesville,FL
13,46694.183,44105,41.450602,-81.62216,Cleveland,OH
14,45854.364,33063,26.251909,-80.21016,Pompano Beach,FL
15,45497.3665,70802,30.44629,-91.17305,Baton Rouge,LA
16,44763.3595,81301,37.295888,-107.84945,Durango,CO
17,44509.658,98661,45.63873,-122.62846,Vancouver,WA
18,44131.5285,61832,40.133786,-87.62898,Danville,IL
19,43516.9755,7101,40.736101,-74.22509,Newark,NJ
20,42852.8015,98387,47.077796,-122.40517,Spanaway,WA
21,41341.3275,59715,45.707153,-110.9878,Bozeman,MT
22,41188.993,67901,37.067979,-100.92813,Liberal,KS
23,40782.63,60060,42.263623,-88.01172,Mundelein,IL
24,40396.0795,4401,44.81777,-68.78952,Bangor,ME
25,40285.302,98026,47.821568,-122.33651,Edmonds,WA
26,39598.2,55125,44.921982,-92.94234,Saint Paul,MN
27,39144.2995,53590,43.189953,-89.2253,Sun Prairie,WI
28,38744.058,97206,45.482341,-122.60007,Portland,OR
29,38708.24,24281,36.65364,-83.34736,Rose Hill,VA
30,37471.11,97071,45.144415,-122.84521,Woodburn,OR
31,37360.847,93905,36.681161,-121.61538,Salinas,CA
32,37322.8515,92277,34.165696,-116.03343,Twentynine Palms,CA
33,37075.4,93422,35.474913,-120.676,Atascadero,CA
34,36937.537,56001,44.15644,-93.99388,Mankato,MN
35,36609.39,72701,36.040467,-94.13376,Fayetteville,AR
36,36572.14,11801,40.763355,-73.52323,Hicksville,NY
37,36369.15,49221,41.900927,-84.04585,Adrian,MI
38,36046.58,45231,39.242608,-84.5453,Cincinnati,OH
39,35807.625,70065,30.022853,-90.25133,Kenner,LA
40,35373.8745,74074,36.105571,-97.07631,Stillwater,OK
41,34980.893,10528,40.972667,-73.71886,Harrison,NY
42,33899.49,61401,40.948073,-90.36871,Galesburg,IL
43,33895.0745,97060,45.529551,-122.39156,Troutdale,OR
44,33679.031,67801,37.755267,-100.02632,Dodge City,KS
45,33448.3375,34698,28.025395,-82.77534,Dunedin,FL
46,33438.515,91730,34.104555,-117.58734,Rancho Cucamonga,CA
47,33247.3325,4072,43.527322,-70.45171,Saco,ME
48,32983.43,80229,39.859585,-104.95943,Denver,CO
49,32824.6035,46806,41.048148,-85.11114,Fort Wayne,IN
50,32515.77,50322,41.630521,-93.7238,Urbandale,IA
51,32498.4645,60007,42.005978,-87.99847,Elk Grove Village,IL
52,32187.37,98011,47.751471,-122.20257,Bothell,WA
53,32128.8925,55076,44.844833,-93.03528,Inver Grove Heights,MN
54,32109.432,88201,33.485178,-104.55089,Roswell,NM
55,31976.623,67601,38.881082,-99.32559,Hays,KS
56,31965.06,77566,29.036879,-95.44103,Lake Jackson,TX
57,31500.73,15122,40.366177,-79.89418,West Mifflin,PA
58,31442.958,43952,40.371185,-80.63426,Steubenville,OH
59,31270.3455,15239,40.482655,-79.74278,Pittsburgh,PA
60,30846.194,5401,44.484038,-73.22126,Burlington,VT
61,30632.2,10956,41.145495,-73.9949,New City,NY
62,30501.57,46952,40.58119,-85.66324,Marion,IN
63,30333.2115,75401,33.15023,-96.11289,Greenville,TX
64,30289.3915,21128,39.400296,-76.44639,Perry Hall,MD
65,29827.951,84062,40.38584,-111.73333,Pleasant Grove,UT
66,29734.4185,44236,41.248795,-81.44679,Hudson,OH
67,29539.08,98052,47.677471,-122.12138,Redmond,WA
68,29482.63,13601,43.976735,-75.91199,Watertown,NY
69,29261.82,94404,37.554335,-122.27032,San Mateo,CA
70,29128.4465,94521,37.957772,-121.97709,Concord,CA
71,29080.6815,36830,32.577135,-85.47282,Auburn,AL
72,28919.33,98037,47.848237,-122.28348,Lynnwood,WA
73,28900.59,41042,38.983853,-84.64401,Florence,KY
74,28633.564,31907,32.479492,-84.90942,Columbus,GA
75,28608.753,80027,39.963322,-105.15053,Louisville,CO
76,28552.07,23805,37.174217,-77.39008,Petersburg,VA
77,28550.17,55343,44.921599,-93.40857,Hopkins,MN
78,28424.6,20190,38.959673,-77.3462,Reston,VA
79,28408.2395,97045,45.344246,-122.58464,Oregon City,OR
80,28246.854,98801,47.425497,-120.32881,Wenatchee,WA
81,27989.52,32701,28.666249,-81.36796,Altamonte Springs,FL
