state,sales
Alabama,305011
Arizona,249114
Arkansas,223888
California,1372210
Colorado,323632
Connecticut,102924
Delaware,10926
Florida,777664
Georgia,325852
Idaho,217594
Illinois,959327
Indiana,466670
Iowa,199228
Kansas,257861
Kentucky,153165
Louisiana,173758
MA,242051
Maine,235917
Maryland,347458
Michigan,475171
Minnesota,490010
Mississippi,97624
MO,256711
Montana,76072
Nebraska,116331
Nevada,52063
New Hampshire,95609
New Jersey,328234
New Mexico,158989
New York,738894
North Carolina,335759
North Dakota,48158
Ohio,729426
Oklahoma,176368
Oregon,354325
Pennsylvania,357587
Rhode Island,50820
South Carolina,137837
South Dakota,75173
Tennessee,240461
Texas,863891
Utah,234200
Vermont,99603
Virginia,379201
Washington,560356
West Virginia,77018
Wisconsin,314267
Wyoming,51191
